IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
043453-28032023,28-Mar-23,2023,23,ISLINGTON,532350,186150,140.0,Stoke Newington,inf,inf,51.558712477503036,-0.09220597478879454,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,1148.9938971745842,0-3min
144295-18092023,18-Sep-23,2023,8,KENSINGTON AND CHELSEA,527850,178950,283.0,Chelsea,inf,inf,51.49504465964899,-0.15969392299799934,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,1269.0151143012747,3-6min
197526-16122023,16-Dec-23,2023,12,EALING,517550,179550,521.0,Chiswick,51.503074202737764,-0.30710244747346915,51.50267054350457,-0.3077946008516397,Chiswick,51.49061,-0.26903,55.99,95980.0,9976.151735711266,2983.738460313847,6-9min
137787-08092023,08-Sep-23,2023,8,CAMDEN,530850,182650,273.0,Euston,51.52801556202555,-0.11579221010568738,51.52760927493582,-0.11513140254007354,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,1043.5815896518243,3-6min
143525-16092023,16-Sep-23,2023,23,MERTON,526050,170950,254.0,Wimbledon,inf,inf,51.423552296280796,-0.1884580354425193,Wimbledon,51.4155428,-0.1975317,37.61,107662.0,11296.133801844093,1092.0030593659587,3-6min
184192-24112023,24-Nov-23,2023,3,SOUTHWARK,532450,176750,217.0,Peckham,51.47407399627177,-0.09438576878735103,51.474216377397724,-0.09429343629663399,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,1136.2530537090245,3-6min
079155-03062023,03-Jun-23,2023,22,HACKNEY,533350,187250,420.0,Tottenham,inf,inf,51.56836210663607,-0.0773724596159575,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,2730.2145654008973,6-9min
056510-24042023,24-Apr-23,2023,6,HILLINGDON,508050,190750,353.0,Ruislip,inf,inf,51.60523085124445,-0.4411715094438073,Ruislip,51.588423,-0.43649005,115.7,76198.0,23234.54080625417,1897.9637619279852,3-6min
127526-22082023,22-Aug-23,2023,15,HOUNSLOW,518750,178450,315.0,Ealing,inf,inf,51.49253373478864,-0.29088370955305015,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,2698.6760657395207,3-6min
122000-12082023,12-Aug-23,2023,21,LAMBETH,529950,176850,223.0,Clapham,inf,inf,51.47569425692142,-0.13023244538265255,Clapham,51.4648861,-0.1435183,26.82,63500.0,4838.483661929665,1515.9904681154094,3-6min
071616-22052023,22-May-23,2023,11,LEWISHAM,535450,173650,942.0,Lewisham,inf,inf,51.44564916171685,-0.05231047226467907,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,2965.3208930001474,> 15min
054084-19042023,19-Apr-23,2023,0,KINGSTON UPON THAMES,518350,169350,353.0,Kingston,inf,inf,51.41083064211482,-0.2996838767984754,Kingston,51.4293729,-0.3091976,37.25,55948.0,15278.913526276205,2166.495703535465,3-6min
089680-19062023,19-Jun-23,2023,19,ISLINGTON,531250,183250,272.0,Islington,inf,inf,51.53290844335897,-0.10914519545398722,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,911.2141876517052,3-6min
045525-02042023,02-Apr-23,2023,5,ENFIELD,536250,195550,531.0,Edmonton,51.64232810689187,-0.03250457433247462,51.64225331492809,-0.03233437438612347,Edmonton,51.62735,-0.06927,80.84,109867.0,13967.778520302169,3044.1104984138246,6-9min
060239-30042023,30-Apr-23,2023,21,HAMMERSMITH AND FULHAM,523850,180350,287.0,Kensington,inf,inf,51.50851618950861,-0.21679297198881833,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1939.7344287599467,3-6min
016903-03022023,03-Feb-23,2023,14,RICHMOND UPON THAMES,517150,174250,266.0,Twickenham,inf,inf,51.45511921681592,-0.31531092205900974,Twickenham,51.4674071,-0.3199681,57.41,97616.0,14048.66163547699,1404.9071318881072,3-6min
096017-29062023,29-Jun-23,2023,12,HAMMERSMITH AND FULHAM,523350,178950,39.0,Hammersmith,51.49612085135344,-0.2242494933740026,51.49604345491824,-0.22448300449213004,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,1.9089801570443394,0-3min
075487-28052023,28-May-23,2023,20,RICHMOND UPON THAMES,521850,176950,310.0,Richmond,inf,inf,51.47839389868529,-0.2467697767252744,Richmond,51.4674124,-0.2849489,57.41,97616.0,11771.22733156341,2920.583639070353,3-6min
130019-26082023,26-Aug-23,2023,15,HARINGEY,533350,189050,542.0,Tottenham,inf,inf,51.58453740746251,-0.07668971532144324,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,967.0405795956331,9-12min
053243-17042023,17-Apr-23,2023,13,HILLINGDON,510550,179150,521.0,Hayes,51.5001953160344,-0.40847973374588564,51.50048644880603,-0.40872892857519794,Hayes,51.49459,-0.43159,115.7,76198.0,21111.019149492327,1724.0750009669512,6-9min
187884-30112023,30-Nov-23,2023,9,BEXLEY,551650,174550,401.0,Bexley,51.449354521543654,0.18150606077645193,51.44963343843344,0.18101561565255928,Bexley,51.4610332,0.1536208,60.56,82181.0,20139.756311024084,2334.8543467989766,6-9min
021913-13022023,13-Feb-23,2023,8,HOUNSLOW,517950,178150,324.0,Chiswick,inf,inf,51.49000476610661,-0.3025018241018355,Chiswick,51.49061,-0.26903,55.99,95980.0,9976.151735711266,2325.768725293338,3-6min
138490-09092023,09-Sep-23,2023,4,TOWER HAMLETS,534450,181550,437.0,Shoreditch,inf,inf,51.5168794886856,-0.06368659658999737,Shoreditch,51.526625,-0.084321,19.06,86652.0,3690.5814748025655,1796.3245327231123,6-9min
154166-04102023,04-Oct-23,2023,17,TOWER HAMLETS,534250,181550,190.0,Whitechapel,inf,inf,51.51692701018444,-0.06656724912877629,Whitechapel,51.515125,-0.068433,19.77,62455.0,4185.566938573565,238.6823056816923,3-6min
173309-05112023,05-Nov-23,2023,19,WESTMINSTER,525350,182150,249.0,Paddington,inf,inf,51.524362311146064,-0.1945508569709033,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,924.2934528536729,3-6min
092288-24062023,24-Jun-23,2023,1,WESTMINSTER,529650,178250,283.0,Lambeth,inf,inf,51.488344432324965,-0.13403622431384515,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,2906.8927403228313,3-6min
063732-07052023,07-May-23,2023,13,HACKNEY,536150,184650,249.0,Homerton,inf,inf,51.544329749776274,-0.038004015500861306,Homerton,51.548634,-0.043184,19.06,86652.0,7441.716420234339,598.7091795880602,3-6min
154753-05102023,05-Oct-23,2023,17,WESTMINSTER,524750,182050,269.0,North Kensington,inf,inf,51.52359633649576,-0.20323027310987224,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,828.5210548665789,3-6min
013544-27012023,27-Jan-23,2023,22,REDBRIDGE,542050,189950,364.0,Woodford,51.590489554188906,0.04979644949489967,51.59050063915982,0.04916172668462156,Woodford,51.60883,0.026243,56.41,103279.0,15535.957097521175,2614.035590260837,6-9min
036748-14032023,14-Mar-23,2023,19,LEWISHAM,537850,176250,435.0,Lewisham,inf,inf,51.46843458273069,-0.016784831625446944,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,1305.6451327809655,6-9min
000577-01012023,01-Jan-23,2023,19,EALING,516850,181250,202.0,Ealing,inf,inf,51.51809441750594,-0.31731230785240344,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,705.2263931759621,3-6min
099348-05072023,05-Jul-23,2023,3,HARROW,514650,187850,358.0,Harrow,inf,inf,51.577863245654314,-0.3468565222537726,Harrow,51.59096,-0.36634,50.47,130494.0,18990.194902322222,1986.6915776439155,3-6min
158149-11102023,11-Oct-23,2023,8,WANDSWORTH,525750,173550,301.0,Wandsworth,51.44680477112117,-0.19238770616674233,51.44698529281737,-0.19184810810110256,Wandsworth,51.4378592,-0.1802274,34.26,109456.0,8538.269839100261,1304.807774867474,3-6min
012754-26012023,26-Jan-23,2023,12,HOUNSLOW,517850,178350,371.0,Chiswick,51.49156263685007,-0.304518267928562,51.49182310289636,-0.3038747854503179,Chiswick,51.49061,-0.26903,55.99,95980.0,9976.151735711266,2464.672652864288,6-9min
112951-27072023,27-Jul-23,2023,20,WESTMINSTER,525750,182250,175.0,Paddington,inf,inf,51.5251721667313,-0.1887525394161684,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,680.9641534771408,0-3min
110899-24072023,24-Jul-23,2023,10,ENFIELD,534250,193550,715.0,Tottenham,inf,inf,51.62476164350448,-0.061986356397769095,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,3635.883477285475,9-12min
116387-02082023,02-Aug-23,2023,20,HAVERING,551050,188850,256.0,Romford,51.57814656511964,0.17786855603598278,51.57827854366694,0.17850992956510073,Romford,51.593238,0.183295,112.27,65506.0,23562.433272317823,1719.9812595382682,3-6min
030188-01032023,01-Mar-23,2023,19,BARNET,527950,192050,333.0,Finchley,inf,inf,51.61274809084327,-0.15349287360252242,Finchley,51.59798,-0.1791,86.74,97160.0,10717.41137555264,2418.0742041039,3-6min
124241-16082023,16-Aug-23,2023,20,CROYDON,532550,164850,182.0,Croydon,inf,inf,51.3672522842758,-0.09730094316897021,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,573.9071586072353,3-6min
115229-31072023,31-Jul-23,2023,21,REDBRIDGE,544650,186850,180.0,Ilford,inf,inf,51.561985042914344,0.08539188183577937,Ilford,51.562624,0.091493,56.41,103279.0,16375.923909334317,429.01777680946486,0-3min
040573-22032023,22-Mar-23,2023,18,TOWER HAMLETS,534150,183150,188.0,Bethnal Green,inf,inf,51.531328839744496,-0.0673988918576936,Bethnal Green,51.52791,-0.052074,19.77,62455.0,5710.62499623298,1129.4561925791877,3-6min
062407-05052023,05-May-23,2023,0,WESTMINSTER,527350,181150,290.0,Paddington,inf,inf,51.51492847099712,-0.16609890450118742,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1313.17575960837,3-6min
168199-28102023,28-Oct-23,2023,7,WALTHAM FOREST,538250,187150,333.0,Leyton,inf,inf,51.56628453188283,-0.006758009915544145,Leyton,51.564005,-0.017636,38.82,69512.0,9893.889438578515,795.7918205762512,3-6min
060707-01052023,01-May-23,2023,19,ISLINGTON,532550,182450,424.0,Whitechapel,51.525478708618294,-0.09126004638381853,51.52541588055949,-0.09071486685620249,Whitechapel,51.515125,-0.068433,19.77,62455.0,4185.566938573565,1957.1516217427395,6-9min
007167-16012023,16-Jan-23,2023,10,KENSINGTON AND CHELSEA,525150,180650,213.0,Kensington,51.51127743756353,-0.19741725432473686,51.51092614638272,-0.19796433469186256,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1060.9681599157097,3-6min
108215-19072023,19-Jul-23,2023,17,WALTHAM FOREST,539550,186650,246.0,Leytonstone,inf,inf,51.56147170587512,0.011787351699920762,Leytonstone,51.560346,0.0079829,38.82,69512.0,11093.48251146864,292.04960809494685,3-6min
133859-02092023,02-Sep-23,2023,10,SOUTHWARK,535350,176450,511.0,New Cross,inf,inf,51.47083478322743,-0.05267788470887692,New Cross,51.47373132,-0.04923807,35.15,74952.0,6577.655665872406,401.2188858463136,6-9min
140001-11092023,11-Sep-23,2023,4,HARROW,517550,192050,234.0,Stanmore,inf,inf,51.61501353139747,-0.303619678849005,Stanmore,51.60376,-0.29748,50.47,130494.0,15941.767603186485,1322.334971588763,3-6min
167516-26102023,26-Oct-23,2023,22,KENSINGTON AND CHELSEA,527250,177750,180.0,Chelsea,inf,inf,51.484395639929446,-0.168764414079853,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,412.5388904382801,0-3min
071140-21052023,21-May-23,2023,10,KENSINGTON AND CHELSEA,526650,178650,245.0,Chelsea,inf,inf,51.492618427199126,-0.17707820260716828,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,680.909934059152,3-6min
051896-14042023,14-Apr-23,2023,19,HILLINGDON,507450,174150,521.0,Heathrow,51.45572650452271,-0.45539476093810577,51.45614250774477,-0.45489134072223547,Heathrow,51.4803,-0.45864,115.7,76198.0,23132.63518837176,2743.371321187348,6-9min
090401-21062023,21-Jun-23,2023,1,CAMDEN,528950,182350,245.0,Euston,inf,inf,51.52534992875153,-0.14261488069507697,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,863.3442935799616,3-6min
132496-30082023,30-Aug-23,2023,22,NEWHAM,542550,185250,400.0,East Ham,51.54779348075471,0.05384797670034265,51.548142305944104,0.05446947205924529,East Ham,51.523548,0.056981,36.22,116875.0,12907.885584948115,2707.051489499004,6-9min
148316-24092023,24-Sep-23,2023,17,HARINGEY,533350,189650,198.0,Tottenham,inf,inf,51.58992916299493,-0.07646199214747341,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,450.15289912671017,3-6min
164739-21102023,21-Oct-23,2023,22,HACKNEY,534750,186150,264.0,Stoke Newington,inf,inf,51.55814477827115,-0.05760647417309802,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,1382.5967733435937,3-6min
017120-03022023,03-Feb-23,2023,21,LAMBETH,531950,172250,219.0,West Norwood,51.434209651455,-0.10381425992924549,51.43389340471192,-0.10316554844674801,West Norwood,51.4258523,-0.1109787,26.82,63500.0,9126.040714912837,1056.266296780346,3-6min
171548-02112023,02-Nov-23,2023,23,WESTMINSTER,524650,182150,297.0,North Kensington,inf,inf,51.52451709575776,-0.2046355775603662,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,767.7556722868333,3-6min
141350-13092023,13-Sep-23,2023,14,BROMLEY,540550,169050,791.0,Sidcup,inf,inf,51.403072055636066,0.019205695981883094,Sidcup,51.42706568,0.09456477,60.56,82181.0,17781.077427293403,5883.174405641829,12-15min
023956-17022023,17-Feb-23,2023,4,WESTMINSTER,527250,182050,271.0,Paddington,inf,inf,51.523039131224564,-0.16721458418479412,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1141.5956614620586,3-6min
081671-08062023,08-Jun-23,2023,0,LAMBETH,528550,175750,184.0,Clapham,51.466046420792935,-0.1501493899555682,51.46612830217743,-0.15077955345937966,Clapham,51.4648861,-0.1435183,26.82,63500.0,4838.483661929665,476.87380648591466,3-6min
029124-27022023,27-Feb-23,2023,15,EALING,514550,185150,156.0,Northolt,51.55353932230137,-0.3494116988256226,51.55361696602883,-0.34917809744095024,Northolt,51.55491,-0.35947,55.53,91532.0,16923.24105510712,715.5287192148184,0-3min
033974-09032023,09-Mar-23,2023,16,LAMBETH,531250,179650,267.0,Lambeth,inf,inf,51.50055689357308,-0.11048454469866302,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,4202.656918163654,3-6min
033565-08032023,08-Mar-23,2023,21,CAMDEN,529850,182650,104.0,Euston,inf,inf,51.52783989290822,-0.12953855857542693,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,87.30154965676111,0-3min
015427-31012023,31-Jan-23,2023,17,LAMBETH,529550,175150,391.0,Brixton,inf,inf,51.46050842973018,-0.13661131782930597,Brixton,51.4634153,-0.1119599,26.82,63500.0,4990.712567649768,1743.4899479856772,6-9min
191467-06122023,06-Dec-23,2023,9,ISLINGTON,530650,184250,298.0,Islington,51.542023653082474,-0.11733355672960841,51.54203402725703,-0.1174196556294064,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,1064.5148396619704,3-6min
127948-23082023,23-Aug-23,2023,11,ISLINGTON,532450,183950,285.0,Islington,inf,inf,51.53891895764861,-0.09159181487609268,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,753.6498581793012,3-6min
162682-18102023,18-Oct-23,2023,18,WALTHAM FOREST,539250,191450,318.0,Woodford,inf,inf,51.60467766311014,0.009364323279290439,Woodford,51.60883,0.026243,56.41,103279.0,15535.957097521175,1257.2793224276684,3-6min
158295-11102023,11-Oct-23,2023,13,HILLINGDON,509150,175950,275.0,Feltham,51.47184639978328,-0.43009946289868684,51.471996307644055,-0.42987833928783037,Feltham,51.46076,-0.41383,55.99,95980.0,20496.509403628635,1672.1573668828428,3-6min
073165-25052023,25-May-23,2023,3,WANDSWORTH,527350,175450,188.0,Battersea,51.46410745617585,-0.16754679824704302,51.4637032760067,-0.16815323978429317,Battersea,51.4671185,-0.1876668,34.26,109456.0,6105.024929730367,1439.2638810727049,3-6min
198684-18122023,18-Dec-23,2023,12,ISLINGTON,532050,184550,349.0,Islington,51.544154361405376,-0.09779051252205888,51.54440445037673,-0.09713109415911331,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,569.4550581657264,3-6min
008690-19012023,19-Jan-23,2023,7,TOWER HAMLETS,534150,183150,275.0,Bethnal Green,51.53096775925233,-0.06786113509166614,51.531328839744496,-0.0673988918576936,Bethnal Green,51.52791,-0.052074,19.77,62455.0,5710.62499623298,1144.9288924828484,3-6min
034197-10032023,10-Mar-23,2023,0,HAMMERSMITH AND FULHAM,522250,181050,469.0,Hammersmith,inf,inf,51.515155303927955,-0.2395936804220121,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,2372.982270604228,6-9min
179067-15112023,15-Nov-23,2023,3,CROYDON,532950,166050,318.0,Croydon,inf,inf,51.377942874066065,-0.09110984815028032,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,1385.5779494173412,3-6min
201513-23122023,23-Dec-23,2023,12,NEWHAM,538650,184050,184.0,Stratford,inf,inf,51.53833009315322,-0.002211575119465425,Stratford,51.54321,0.011631,36.22,116875.0,10437.7576427227,1103.2225761676618,3-6min
005754-13012023,13-Jan-23,2023,6,WESTMINSTER,525850,180750,299.0,Kensington,51.512110984935404,-0.18790153010388752,51.511669512015054,-0.18784699094774757,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1050.7922342944935,3-6min
101992-09072023,09-Jul-23,2023,9,HAMMERSMITH AND FULHAM,522550,180950,299.0,Hammersmith,inf,inf,51.51419165260014,-0.23530718255182878,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,2154.2375822008953,3-6min
151022-29092023,29-Sep-23,2023,11,HILLINGDON,509850,181050,442.0,Hayes,51.51790066967003,-0.41842744705260115,51.5177000198544,-0.41821820239323954,Hayes,51.49459,-0.43159,115.7,76198.0,21111.019149492327,2750.897044971018,6-9min
106889-17072023,17-Jul-23,2023,14,KENSINGTON AND CHELSEA,525450,180050,331.0,Paddington,51.505177471807286,-0.19370981604354603,51.50546749485173,-0.19385685148243037,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1828.2638575143765,3-6min
069998-19052023,19-May-23,2023,10,SUTTON,530050,162350,383.0,Wallington,51.34509794702446,-0.13387265447171534,51.34536245442933,-0.1341060176106814,Wallington,51.36242334,-0.14837595,43.85,104758.0,16178.399354451967,2177.1624065397,6-9min
091130-22062023,22-Jun-23,2023,10,WANDSWORTH,525350,175150,407.0,Battersea,51.461262631088196,-0.19633672225761822,51.46145321545378,-0.19703459306761398,Battersea,51.4671185,-0.1876668,34.26,109456.0,6105.024929730367,885.9850720828107,6-9min
177502-12112023,12-Nov-23,2023,17,ENFIELD,529250,194550,184.0,Southgate,inf,inf,51.63491767602062,-0.13380683422724315,Southgate,51.6306,-0.12754,80.84,109867.0,13734.420279492835,647.3375655915631,3-6min
060710-01052023,01-May-23,2023,19,BROMLEY,548450,163350,349.0,Orpington,51.350220700986384,0.13039214536813504,51.34984435504572,0.13031724284059906,Orpington,51.37216313,0.11087098,150.15,82458.0,22327.869024727424,2794.7307924108377,3-6min
099296-04072023,04-Jul-23,2023,23,KENSINGTON AND CHELSEA,525150,178550,269.0,Kensington,51.491890182914304,-0.19920484414965844,51.49205341907835,-0.19870863353657445,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1358.1581242220898,3-6min
126731-21082023,21-Aug-23,2023,3,HILLINGDON,506350,181350,448.0,Hillingdon,inf,inf,51.521065546811904,-0.4685505869411118,Hillingdon,51.53228,-0.45221,115.7,76198.0,22665.210491894057,1686.0597028874004,6-9min
122700-14082023,14-Aug-23,2023,7,NEWHAM,542150,182350,169.0,East Ham,51.52254381546132,0.048084283052997355,51.52218470767093,0.047534806445606294,East Ham,51.523548,0.056981,36.22,116875.0,12907.885584948115,625.6326392182192,0-3min
059976-30042023,30-Apr-23,2023,13,BARKING AND DAGENHAM,547450,185150,338.0,Dagenham,51.54573864898451,0.1247875190306816,51.545985797016506,0.1250442237092502,Dagenham,51.559507,0.15678,36.09,109267.0,20534.625316519363,2694.2979345694384,3-6min
100738-07072023,07-Jul-23,2023,12,EALING,517250,180650,298.0,Ealing,inf,inf,51.51261909698193,-0.3117494472674872,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,144.33506370972103,3-6min
047439-05042023,05-Apr-23,2023,19,BROMLEY,541050,169550,211.0,Bromley,inf,inf,51.4074410397842,0.026587681651072656,Bromley,51.4070394,0.01715567,150.15,82458.0,14989.379218231285,657.8119459828201,3-6min
144495-18092023,18-Sep-23,2023,15,HAMMERSMITH AND FULHAM,525850,175850,397.0,Fulham,inf,inf,51.467633292170134,-0.1895922175626353,Fulham,51.4779579,-0.2010297,16.4,91648.0,6044.457462088725,1396.792206602676,6-9min
047223-05042023,05-Apr-23,2023,12,RICHMOND UPON THAMES,515050,171450,543.0,Feltham,inf,inf,51.43038357913044,-0.34643065369920706,Feltham,51.46076,-0.41383,55.99,95980.0,20496.509403628635,5777.410309161615,9-12min
198633-18122023,18-Dec-23,2023,11,CROYDON,532350,165450,242.0,Croydon,51.37265622597229,-0.10058267517146133,51.37269091496034,-0.09994905187653598,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,508.47554823739904,3-6min
040737-23032023,23-Mar-23,2023,3,TOWER HAMLETS,537850,179150,362.0,Millwall,51.49488719180434,-0.014959758818109329,51.49449427002548,-0.015653927835864726,Millwall,51.500806,-0.025725,19.77,62455.0,7085.781804491156,997.5860960251619,6-9min
186462-27112023,27-Nov-23,2023,20,NEWHAM,539850,184850,100.0,Stratford,51.5448775064907,0.015093542967244564,51.54522300240106,0.015397257010033808,Stratford,51.54321,0.011631,36.22,116875.0,10437.7576427227,305.7592599626668,0-3min
093787-25062023,25-Jun-23,2023,21,HAMMERSMITH AND FULHAM,523350,179550,403.0,Kensington,inf,inf,51.50143574186927,-0.224273441561804,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,2356.9726280178115,6-9min
150511-28092023,28-Sep-23,2023,11,BARNET,525950,193050,368.0,Southgate,51.6222067786525,-0.18164076209154342,51.62218540846431,-0.1820027782087615,Southgate,51.6306,-0.12754,80.84,109867.0,13734.420279492835,3858.8327886218935,6-9min
048177-07042023,07-Apr-23,2023,12,SUTTON,525250,163950,357.0,Sutton,51.361003874482485,-0.20215964831580696,51.36081910753288,-0.20242543501983792,Sutton,51.36904525,-0.21119305,43.85,104758.0,16433.216549540477,1094.6288443120552,3-6min
187731-30112023,30-Nov-23,2023,0,ENFIELD,535750,198250,245.0,Enfield,inf,inf,51.66663619751582,-0.038508458364491446,Enfield,51.660474,-0.051915,80.84,109867.0,17844.784030425766,1153.4924037703627,3-6min
143123-16092023,16-Sep-23,2023,11,EALING,519750,180650,468.0,Ealing,inf,inf,51.512095285627694,-0.27574030357440066,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,2635.2540614901045,6-9min
057837-26042023,26-Apr-23,2023,19,SOUTHWARK,532850,178650,276.0,Old Kent Road,51.49140556162803,-0.08792984508936284,51.49119699504245,-0.08782333037701834,Old Kent Road,51.48695786,-0.07366975,28.85,102125.0,4356.591980686375,1105.6599448233376,3-6min
017142-03022023,03-Feb-23,2023,22,SOUTHWARK,532650,176850,203.0,Peckham,inf,inf,51.47506821523935,-0.09137791780277935,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,936.8803259313079,3-6min
054158-19042023,19-Apr-23,2023,9,BROMLEY,538050,166650,451.0,Beckenham,51.381814195629495,-0.018261047650065417,51.38211851096966,-0.01764431964999692,Beckenham,51.40804499,-0.0341093,150.15,82458.0,12792.281250373548,3119.9927994209875,6-9min
139707-10092023,10-Sep-23,2023,17,HOUNSLOW,510050,177050,331.0,Feltham,51.481421264464466,-0.4159164583382083,51.48170903099582,-0.4165833642009609,Feltham,51.46076,-0.41383,55.99,95980.0,20496.509403628635,2304.032178647859,3-6min
140292-11092023,11-Sep-23,2023,15,ISLINGTON,531250,182450,302.0,Islington,51.52571999183691,-0.11004848640231214,51.525719227750024,-0.10944304462710781,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,1666.4118999338448,3-6min
147807-23092023,23-Sep-23,2023,18,HAMMERSMITH AND FULHAM,525350,177750,217.0,Fulham,inf,inf,51.48481954031079,-0.1961131137647705,Fulham,51.4779579,-0.2010297,16.4,91648.0,6044.457462088725,836.3306388429852,3-6min
074891-27052023,27-May-23,2023,22,CROYDON,532550,163250,306.0,Croydon,inf,inf,51.35287353257413,-0.09789670933543887,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,1866.2925348937847,3-6min
135892-05092023,05-Sep-23,2023,15,BROMLEY,535450,170850,323.0,Beckenham,inf,inf,51.420487322826645,-0.05338037178443497,Beckenham,51.40804499,-0.0341093,150.15,82458.0,12792.281250373548,1927.1047008291712,3-6min
174258-07112023,07-Nov-23,2023,3,KENSINGTON AND CHELSEA,524550,179650,354.0,Hammersmith,inf,inf,51.50207154937911,-0.2069586794772482,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,1368.8232962585603,3-6min
117012-03082023,03-Aug-23,2023,23,ISLINGTON,530650,185950,124.0,Holloway,51.55732219472011,-0.11691825767190825,51.557311125741485,-0.11678888074304782,Holloway,51.561766,-0.116461,14.86,108384.0,6121.146116041655,494.3102729299318,0-3min
181040-18112023,18-Nov-23,2023,14,EALING,520150,179950,264.0,Chiswick,inf,inf,51.50571930617823,-0.270217224068986,Chiswick,51.49061,-0.26903,55.99,95980.0,9976.151735711266,1683.0486506702778,3-6min
193666-09122023,09-Dec-23,2023,21,BARNET,528850,192750,487.0,Southgate,51.619190321509805,-0.14005701052340605,51.61883360450189,-0.14024494137021465,Southgate,51.6306,-0.12754,80.84,109867.0,13734.420279492835,1535.071042657327,6-9min
105998-15072023,15-Jul-23,2023,20,HACKNEY,535950,185950,214.0,Homerton,inf,inf,51.55605988250257,-0.04038440497147966,Homerton,51.548634,-0.043184,19.06,86652.0,7441.716420234339,848.7078754923723,3-6min
013652-28012023,28-Jan-23,2023,3,BARNET,525050,195950,239.0,Barnet,inf,inf,51.64844759521698,-0.1939616452422978,Barnet,51.64717,-0.18591,86.74,97160.0,16095.505140908866,575.1423666325942,3-6min
041317-24032023,24-Mar-23,2023,11,WESTMINSTER,529950,179250,199.0,Lambeth,inf,inf,51.497262315821935,-0.12934993600223943,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,3804.919367798825,3-6min
030051-01032023,01-Mar-23,2023,15,EALING,512950,180250,161.0,Southall,51.50948004429993,-0.3734271225373561,51.509899076070894,-0.373815695737546,Southall,51.51144,-0.37448,55.53,91532.0,17114.811924824804,229.6843217939885,0-3min
103241-11072023,11-Jul-23,2023,9,GREENWICH,542850,176150,266.0,Eltham,inf,inf,51.466297053470896,0.05511014557665636,Eltham,51.45069495,0.05944427,47.35,57851.0,14395.991771601986,1761.7882299674352,3-6min
