IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
139047-09092023,09-Sep-23,2023,20,LEWISHAM,536750,174750,432.0,Forest Hill,inf,inf,51.4552219047743,-0.033190921192347005,Forest Hill,51.442526,-0.04486797,35.15,74952.0,9196.60724664435,1629.1533258624183,6-9min
047383-05042023,05-Apr-23,2023,18,KENSINGTON AND CHELSEA,526250,177550,257.0,Fulham,51.48316327086479,-0.18261135837432876,51.48282214696512,-0.18322981910962113,Fulham,51.4779579,-0.2010297,16.4,91648.0,6044.457462088725,1406.0505101125614,3-6min
098002-02072023,02-Jul-23,2023,20,LEWISHAM,537850,175950,231.0,Lewisham,inf,inf,51.465738745341284,-0.016901724766997916,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,1013.0809128621074,3-6min
055568-22042023,22-Apr-23,2023,8,CROYDON,532450,168250,282.0,Norbury,inf,inf,51.397830331494255,-0.09746991272630376,Norbury,51.40681223,-0.1212487,86.52,78101.0,11181.546872069295,1933.0648924545103,3-6min
078658-03062023,03-Jun-23,2023,0,ENFIELD,531150,198050,508.0,Southgate,inf,inf,51.665930436771,-0.10505770737278192,Southgate,51.6306,-0.12754,80.84,109867.0,13734.420279492835,4227.689644515287,6-9min
176556-11112023,11-Nov-23,2023,3,ENFIELD,534350,199550,436.0,Enfield,51.679068142630754,-0.05880062442548635,51.67865421374509,-0.058239739487160685,Enfield,51.660474,-0.051915,80.84,109867.0,17844.784030425766,2123.0746958833506,6-9min
056554-24042023,24-Apr-23,2023,9,HOUNSLOW,510850,173050,287.0,Feltham,inf,inf,51.44560083134292,-0.4063203708358149,Feltham,51.46076,-0.41383,55.99,95980.0,20496.509403628635,1765.4984477602868,3-6min
192596-08122023,08-Dec-23,2023,6,WESTMINSTER,531150,181250,393.0,Soho,51.5147491712383,-0.11172769110782059,51.514958587111074,-0.11132988964396094,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,1428.3985546482152,6-9min
090272-20062023,20-Jun-23,2023,20,CROYDON,530850,169350,105.0,Norbury,51.407903313418856,-0.12038883273339167,51.408086733978294,-0.12005059494034317,Norbury,51.40681223,-0.1212487,86.52,78101.0,11181.546872069295,137.10111762832275,0-3min
194449-11122023,11-Dec-23,2023,5,CAMDEN,530350,182450,222.0,Euston,51.52597081157162,-0.1228684299607821,51.52592748679489,-0.12240889737685617,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,586.7886980277367,3-6min
006652-15012023,15-Jan-23,2023,8,BROMLEY,536250,169650,197.0,Beckenham,inf,inf,51.40951216248748,-0.04234292081104132,Beckenham,51.40804499,-0.0341093,150.15,82458.0,12792.281250373548,595.6885075804987,3-6min
039378-20032023,20-Mar-23,2023,11,BRENT,521650,184250,293.0,Willesden,inf,inf,51.54404376631914,-0.2471319668348733,Willesden,51.54468,-0.23663,43.24,112973.0,8634.041435717692,731.9845247856227,3-6min
159798-13102023,13-Oct-23,2023,19,SUTTON,529050,162550,195.0,Wallington,51.347810102330705,-0.14780659216066783,51.34738757518371,-0.14838366475812081,Wallington,51.36242334,-0.14837595,43.85,104758.0,16178.399354451967,1626.4766426309168,3-6min
007737-17012023,17-Jan-23,2023,11,KENSINGTON AND CHELSEA,525750,178350,268.0,Chelsea,inf,inf,51.490123024678944,-0.19014193348234246,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,1249.3690628779882,3-6min
032263-06032023,06-Mar-23,2023,0,SOUTHWARK,532250,177750,335.0,Peckham,51.482962441079586,-0.09738545514157637,51.48324965348906,-0.09679739469817956,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,1671.5139844186797,3-6min
123961-16082023,16-Aug-23,2023,11,GREENWICH,538050,176350,195.0,Greenwich,inf,inf,51.46928448190116,-0.01386829449822066,Greenwich,51.47380645,-0.01340824,47.35,57851.0,8733.466473723414,504.1164414187599,3-6min
179684-16112023,16-Nov-23,2023,5,HAVERING,551650,184850,477.0,Dagenham,51.54227430226377,0.18607741782702347,51.5421782980532,0.18543825544405143,Dagenham,51.559507,0.15678,36.09,109267.0,20534.625316519363,2794.7105229055865,6-9min
172446-04112023,04-Nov-23,2023,13,HOUNSLOW,516550,175950,272.0,Heston,inf,inf,51.47052196665589,-0.32338258353726673,Heston,51.47492,-0.3431,55.99,95980.0,15360.683212352244,1454.764851868992,3-6min
176558-11112023,11-Nov-23,2023,3,LEWISHAM,537650,174050,305.0,Lewisham,inf,inf,51.448713681782806,-0.020517905527125558,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,1026.226738204055,3-6min
141159-13092023,13-Sep-23,2023,6,TOWER HAMLETS,537550,179650,339.0,Millwall,inf,inf,51.4990603201312,-0.019777938014161438,Millwall,51.500806,-0.025725,19.77,62455.0,7085.781804491156,456.3594131597927,3-6min
126052-19082023,19-Aug-23,2023,22,LEWISHAM,538850,175250,225.0,Lewisham,inf,inf,51.45920426779495,-0.002789746524787116,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,796.0898755350547,3-6min
065840-11052023,11-May-23,2023,13,EALING,518950,179650,370.0,Chiswick,51.50289988468037,-0.2882770057270843,51.50327667499425,-0.2876000905116012,Chiswick,51.49061,-0.26903,55.99,95980.0,9976.151735711266,1911.3298908492145,6-9min
171417-02112023,02-Nov-23,2023,17,LAMBETH,530650,175450,182.0,Brixton,inf,inf,51.462951847914404,-0.12067597295980699,Brixton,51.4634153,-0.1119599,26.82,63500.0,4990.712567649768,607.9267616020687,3-6min
093041-25062023,25-Jun-23,2023,0,HACKNEY,533550,185750,326.0,Stoke Newington,inf,inf,51.55483538324435,-0.07505785767562834,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,809.8196928974044,3-6min
137338-07092023,07-Sep-23,2023,15,HAMMERSMITH AND FULHAM,522250,180850,593.0,Hammersmith,inf,inf,51.513357864949086,-0.2396629733326084,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,2198.628752305103,9-12min
027754-24022023,24-Feb-23,2023,20,CROYDON,532750,168150,322.0,Norbury,51.39721266034179,-0.09266534060801983,51.39686161191553,-0.09319746061435308,Norbury,51.40681223,-0.1212487,86.52,78101.0,11181.546872069295,2259.498570957712,3-6min
129061-25082023,25-Aug-23,2023,1,SOUTHWARK,534050,178050,197.0,Old Kent Road,inf,inf,51.48552220929938,-0.07077666310466768,Old Kent Road,51.48695786,-0.07366975,28.85,102125.0,4356.591980686375,256.7037419330706,3-6min
175291-08112023,08-Nov-23,2023,21,TOWER HAMLETS,537650,180850,135.0,Poplar,inf,inf,51.50981928842582,-0.01787031439761676,Poplar,51.51088,-0.015706,19.77,62455.0,7754.7944072924065,191.06066853628818,0-3min
146598-21092023,21-Sep-23,2023,17,BROMLEY,540450,168950,174.0,Bromley,51.40229671870618,0.017230594600583266,51.402198200765085,0.01772946757659665,Bromley,51.4070394,0.01715567,150.15,82458.0,14989.379218231285,527.7448587902918,0-3min
